Date,Barnacles [%],Crustose algae [%],Mussels [%] ,Bare rock [%]
1987-10-22,0.92808825,0.5322794,0.0,0.07191177
1987-11-21,0.91087866,0.53734565,0.03233455,0.08912135
1987-12-21,0.94569117,0.591567,0.05783639,0.05430887
1988-01-20,0.95196474,0.6395889,0.076163694,0.04803524
1988-02-19,0.9556928,0.68325526,0.08697464,0.044307142
1988-03-20,0.9557892,0.69683856,0.08993734,0.044180084
1988-04-19,0.9187055,0.63724506,0.08561471,0.08004859
1988-05-19,0.84788156,0.5200281,0.07496636,0.14872423
1988-06-18,0.77170855,0.38639885,0.058657512,0.22296935
1988-07-18,0.7185778,0.2775682,0.016559077,0.27554637
1988-08-17,0.70363736,0.21704672,0.0,0.29307136
1988-09-16,0.6976194,0.16860704,0.0,0.3058017
1988-10-16,0.6946137,0.12682204,0.008320364,0.31640127
1988-11-15,0.6914366,0.08989323,0.046150304,0.32456934
1988-12-15,0.68490404,0.05602215,0.17324919,0.33000514
1989-01-14,0.67183214,0.023410346,0.18624717,0.33240798
1989-02-13,0.42224503,0.006210594,0.17456736,0.13138632
1989-03-15,0.3590893,0.108447745,0.16317558,0.1316994
1989-04-14,0.34697255,0.15445028,0.16134806,0.13226122
1989-05-14,0.34783322,0.1527324,0.17995287,0.13316397
1989-06-13,0.35007438,0.14964266,0.205676,0.13490544
1989-07-13,0.35405537,0.14609563,0.22414629,0.13800684
1989-08-12,0.36013559,0.1430059,0.24510472,0.14298934
1989-09-11,0.36867428,0.14128803,0.30885094,0.15037416
1989-10-11,0.4313743,0.21396251,0.37855056,0.2892744
1989-11-10,0.42303503,0.21136656,0.34146446,0.35829166
1989-12-10,0.3887799,0.18960011,0.24070497,0.40312988
1990-01-09,0.3519265,0.1661826,0.14457881,0.43110088
1990-02-08,0.33196244,0.15349698,0.071780846,0.44200492
1990-03-10,0.3788091,0.1657095,0.011746068,0.42679948
1990-04-09,0.48717925,0.18984222,0.0,0.3882047
1990-05-09,0.5627977,0.1949913,0.0,0.3514092
1990-06-08,0.62818056,0.19381112,0.0,0.30810577
1990-07-08,0.6915754,0.1913704,0.0,0.25981027
1990-08-07,0.74829614,0.18762709,0.0,0.21252625
1990-09-06,0.7936564,0.18253905,0.0,0.17225716
1990-10-06,0.82297015,0.17606416,0.0,0.1450065
1990-11-05,0.8314808,0.16740893,0.0,0.13683629
1990-12-05,0.81425506,0.11931464,0.0,0.1513577
1991-01-04,0.7825193,0.060548216,2.5307741e-5,0.17070173
1991-02-03,0.7495713,0.04882417,0.018483764,0.17413338
1991-03-05,0.70464265,0.04967825,0.048968457,0.16982916
1991-04-04,0.6522159,0.0514384,0.06,0.162152
1991-05-04,0.6010925,0.054128595,0.06,0.15225023
1991-06-03,0.5600741,0.057772804,0.063104495,0.14127217
1991-07-03,0.5379621,0.062395,0.1338762,0.13036615
1991-08-02,0.5736187,0.082573846,0.21668318,0.118463
1991-09-01,0.7174636,0.14452824,0.3075031,0.10239193
1991-10-01,0.866925,0.20717241,0.3377761,0.08886902
1991-10-31,0.90918374,0.22708581,0.2838381,0.08503871
1991-11-30,0.78826314,0.22463916,0.23155975,0.08979307
1991-12-30,0.6304605,0.22144626,0.2565616,0.099121734
1992-01-29,0.5898332,0.23011106,0.27665508,0.11180991
1992-02-28,0.6778431,0.3489112,0.21139655,0.13833623
1992-03-29,0.7589592,0.45840585,0.1365295,0.16564997
1992-04-28,0.72570854,0.43436232,0.10965848,0.17866129
1992-05-28,0.6230835,0.3567778,0.09131751,0.191317
1992-06-27,0.43056363,0.22872797,0.06768974,0.2666668
1992-07-27,0.26855758,0.121300004,0.06625,0.34406748
1992-08-26,0.39335287,0.11542541,0.09946751,0.26824054
1992-09-25,0.38227984,0.076930314,0.03196,0.31552133
1992-10-25,0.33324564,0.0,0.03990222,0.4254386
1992-11-24,0.27936488,0.0,0.01,0.43364292
1992-12-24,0.33576968,0.0,0.014605058,0.38888308
1993-01-23,0.43317634,0.0,0.041752733,0.21368626
1993-02-22,0.46696204,0.0,0.053106472,0.17081161
1993-03-24,0.5101985,0.0,0.07332641,0.1647681
1993-04-23,0.567248,0.0,0.10062563,0.17243649
1993-05-23,0.5415585,0.0107309865,0.14986037,0.17084819
1993-06-22,0.43372372,0.05565565,0.22287197,0.16253436
1993-07-22,0.36393914,0.114133485,0.31716764,0.15886573
1993-08-21,0.3517749,0.19505726,0.47260007,0.16349092
1993-09-20,0.3764113,0.262571,0.5742583,0.14585747
1993-10-20,0.38829976,0.2794183,0.69,0.1793164
1993-11-19,0.3996408,0.2899636,0.67042357,0.23083803
1993-12-19,0.43461463,0.32845372,0.4907893,0.24189582
1994-01-18,0.57262206,0.44854447,0.4951059,0.13147938
1994-02-17,0.5997955,0.39962327,0.45,0.08928292
1994-03-19,0.5724942,0.45946935,0.45,0.09332995
1994-04-18,0.6646762,0.58790606,0.433965,0.12806737
1994-05-18,0.66203845,0.5836965,0.44302624,0.13293462
1994-06-17,0.58764017,0.51531625,0.48319814,0.12823887
1994-07-17,0.52356166,0.445034,0.5372138,0.1327635
1994-08-16,0.3894453,0.34361345,0.48587292,0.18677925
1994-09-15,0.1602848,0.14083089,0.5825899,0.2434868
1994-10-15,0.05077659,0.011383332,0.6837666,0.3199382
1994-11-14,0.042496756,0.0,0.7066744,0.3546377
1994-12-14,0.03413306,0.0,0.78473115,0.2668337
1995-01-13,0.05595273,0.0,0.81,0.25951156
1995-02-12,0.02254141,0.0,0.6638592,0.4170126
1995-03-14,0.060517766,0.0,0.100749865,0.82768244
1995-04-13,0.16853285,0.07872549,0.0,0.83146715
1995-05-13,0.21914563,0.15141812,0.0,0.78085434
1995-06-12,0.36830208,0.22624569,0.0,0.6316979
1995-07-12,0.25149214,0.16897622,0.0,0.7497052
1995-08-11,0.29947668,0.15637654,0.0,0.69863105
1995-09-10,0.22801568,0.10571092,0.0,0.77198434
1995-10-10,0.32017684,0.059030786,0.0,0.67982316
1995-11-09,0.5153275,0.03273398,0.0,0.48467252
1995-12-09,0.67934626,0.01125,0.0,0.31967267
1996-01-08,0.7780592,0.01125,0.0,0.20575406
1996-02-07,0.7947262,0.047610797,0.0,0.2014888
1996-03-08,0.8471371,0.13230737,0.0,0.15333611
1996-04-07,0.84738016,0.31782028,0.0,0.15276648
1996-05-07,0.8512541,0.31189018,0.0,0.14897388
1996-06-06,0.8668283,0.3194505,0.0,0.1335621
1996-07-06,0.83096087,0.35654658,0.0,0.16279906
1996-08-05,0.8175646,0.31599614,0.0,0.15690458
1996-09-04,0.7904861,0.32340467,0.0,0.20957564
1996-10-04,0.79161334,0.3184355,0.014870015,0.19245462
1996-11-03,0.7864889,0.36161217,0.060879394,0.15179366
1996-12-03,0.52280635,0.38699725,0.34882936,0.13011351
1997-01-02,0.47946674,0.36908963,0.37498716,0.14718498
1997-02-01,0.44403023,0.39962864,0.37532452,0.18252459
1997-03-03,0.49846825,0.39785445,0.32116643,0.1850976
1997-04-02,0.50807756,0.48316857,0.2361853,0.25563192
1997-05-02,0.533101,0.48890892,0.23000592,0.23758982
1997-06-01,0.5040356,0.3598024,0.23910953,0.25462842
1997-07-01,0.45438328,0.2767156,0.23944001,0.30855626
1997-07-31,0.5066569,0.23783362,0.22,0.28299388
1997-08-30,0.52106375,0.20595507,0.2425037,0.23748584
1997-09-29,0.5440731,0.1810903,0.27,0.18281917
1997-10-29,0.6445432,0.1632497,0.22600591,0.12978096
1997-11-28,0.7095211,0.15244365,0.19697733,0.08915826
1997-12-28,0.6887553,0.14868253,0.2397567,0.07173816
1998-01-27,0.74897707,0.15461816,0.18,0.071022965
1998-02-26,0.68351203,0.2039887,0.24,0.07649198
1998-03-28,0.76185626,0.4387337,0.16858038,0.068357304
1998-04-27,0.7711299,0.5023031,0.13774724,0.09194718
1998-05-27,0.7741053,0.5357461,0.112148434,0.108222246
1998-06-26,0.6617908,0.3365559,0.15828125,0.17986612
1998-07-26,0.6696706,0.20405613,0.15186507,0.1797885
1998-08-25,0.5615604,0.13810681,0.16535161,0.26967666
1998-09-24,0.5138274,0.14921677,0.14891766,0.33390018
1998-10-24,0.48811698,0.1761269,0.100750916,0.41199887
1998-11-23,0.5112332,0.17944361,0.10080726,0.3932919
1998-12-23,0.54429036,0.22534956,0.15492792,0.29869643
1999-01-22,0.49356547,0.2818221,0.17923227,0.33041042
1999-02-21,0.506609,0.4397589,0.17553349,0.31649143
1999-03-23,0.55093527,0.47357932,0.096732214,0.3545179
1999-04-22,0.5158745,0.42936566,0.07198659,0.4070307
1999-05-22,0.5961864,0.43047294,0.042527057,0.35780197
1999-06-21,0.7695947,0.388432,0.024938619,0.20750946
1999-07-21,0.7934976,0.32769784,0.02,0.18921013
1999-08-20,0.7360815,0.2846112,0.0115625,0.25354293
1999-09-19,0.7436938,0.2206336,0.01,0.2457347
1999-10-19,0.67862695,0.18125106,0.00084274786,0.31061426
1999-11-18,0.62781334,0.15244222,0.0,0.37245384
1999-12-18,0.74803764,0.15538675,0.0,0.25081855
2000-01-17,0.76878107,0.2021164,0.0,0.2321872
2000-02-16,0.793259,0.23806949,0.0,0.20669502
2000-03-18,0.78741145,0.26745754,0.0,0.21273783
2000-04-17,0.789877,0.34158418,0.0,0.20801617
2000-05-17,0.83768535,0.4234385,0.0,0.16419238
2000-06-16,0.86012405,0.5341052,0.0,0.14431427
2000-07-16,0.83587295,0.5500074,0.0,0.16766514
2000-08-15,0.8659704,0.5608821,0.0,0.13296762
2000-09-14,0.8560841,0.54128164,0.0,0.14431396
2000-10-14,0.85021544,0.5358349,0.0,0.15095393
2000-11-13,0.86114794,0.5322849,0.0,0.13885209
2000-12-13,0.8949469,0.5136289,0.0,0.105053075
2001-01-12,0.85328954,0.4523853,0.0,0.14675926
2001-02-11,0.8829093,0.45449603,0.0,0.11648549
2001-03-13,0.9064214,0.44138727,0.0,0.09217507
2001-04-12,0.9212456,0.45643058,0.0,0.071494006
2001-05-12,0.939954,0.39592823,0.0,0.060081463
2001-06-11,0.94067,0.26299447,0.0,0.060856696
2001-07-11,0.89135766,0.19488794,0.0,0.10720119
2001-08-10,0.8441097,0.16016519,0.0,0.15519269
2001-09-09,0.88922936,0.11101971,0.0,0.11107091
2001-10-09,0.8407446,0.050704412,0.0,0.15908584
2001-11-08,0.87539834,0.0195044,0.0,0.12741852
2001-12-08,0.9295777,0.018627115,0.0,0.07001607
2002-01-07,0.9096274,0.012151219,0.0,0.09009474
2002-02-06,0.89425,0.006117591,0.0,0.10661756
2002-03-08,0.9280788,0.027002834,0.0,0.06962728
2002-04-07,0.94854033,0.22503857,0.0,0.04966985
2002-05-07,0.9484945,0.47370514,0.0054570464,0.045606922
2002-06-06,0.9178672,0.57780856,0.035469305,0.051794
2002-07-06,0.92877775,0.6010036,0.029994294,0.04955893
2002-08-05,0.89432275,0.6804218,0.06376465,0.040966436
2002-09-04,0.86941755,0.7245998,0.070319794,0.05939915
2002-10-04,0.81506366,0.7137143,0.10503666,0.07854732
2002-11-03,0.78473914,0.68948716,0.16345476,0.052076884
2002-12-03,0.53604656,0.74620515,0.4156643,0.04908299
2003-01-02,0.34621212,0.7497466,0.6059992,0.048723835
2003-02-01,0.17849813,0.7039798,0.746847,0.08389496
2003-03-03,0.084432065,0.47451565,0.82381254,0.09425988
2003-04-02,0.12232912,0.17529427,0.7940753,0.08571996
2003-05-02,0.23725791,0.11195854,0.67456985,0.08491413
2003-06-01,0.32827,0.11388013,0.5800871,0.087754115
2003-07-01,0.3377369,0.09499203,0.5544608,0.10949609
2003-07-31,0.3528666,0.08220961,0.51601934,0.13472164
2003-08-30,0.47189522,0.046755455,0.37105876,0.15530588
2003-09-29,0.5052832,0.041292593,0.28400496,0.21234362
2003-10-29,0.56273425,0.013310913,0.22877759,0.20325887
2003-11-28,0.5033271,0.029757116,0.14036755,0.35880864
2003-12-28,0.41099116,0.013333334,0.1633589,0.427819
2004-01-27,0.37532216,0.0136829745,0.19761461,0.43193668
2004-02-26,0.5069295,0.015480666,0.27179223,0.22102608
2004-03-27,0.595775,0.017324056,0.25847656,0.1476956
2004-04-26,0.6792888,0.027640043,0.2574919,0.061664592
2004-05-26,0.6193905,0.044794388,0.29767516,0.083070524
2004-06-25,0.7053025,0.09351122,0.21936001,0.06970435
2004-07-25,0.61836874,0.17229605,0.2928964,0.087198585
2004-08-24,0.59213644,0.17322184,0.29190245,0.11675229
2004-09-23,0.5182644,0.21555023,0.33848315,0.14854355
2004-10-23,0.50455165,0.18409386,0.38224074,0.13466425
2004-11-22,0.48406762,0.18192573,0.4152976,0.099859454
2004-12-22,0.48097,0.2413969,0.3987581,0.11911708
2005-01-21,0.33221054,0.25698605,0.6011878,0.0685345
2005-02-20,0.29895356,0.17031668,0.65254045,0.053567335
2005-03-22,0.35652286,0.1542303,0.56140614,0.08332229
2005-04-21,0.3120174,0.12809506,0.5304711,0.17630957
2005-05-21,0.29567155,0.1206916,0.56713223,0.1771211
2005-06-20,0.29752007,0.1141686,0.618071,0.1965734
2005-07-20,0.29295343,0.10760446,0.65,0.25078705
2005-08-19,0.2620248,0.10086684,0.45,0.32394817
2005-09-18,0.26243064,0.09379703,0.37554908,0.40016246
2005-10-18,0.28824875,0.08623628,0.26387087,0.4635357
2005-11-17,0.28897175,0.07660789,0.19870637,0.5041587
2005-12-17,0.456567,0.075877436,0.16016293,0.38027886
2006-01-16,0.52351755,0.10376491,0.11698676,0.36148694
2006-02-15,0.57582015,0.22740594,0.08044818,0.34504387
2006-03-17,0.70261157,0.3529232,0.06433997,0.23838754
2006-04-16,0.8142561,0.53009284,0.041462,0.139193
