Date,Temperature [oC],Wave height [m],Wind run [km/day]
1987-10-23,15.4,1.9,523.0
1987-10-24,15.1,1.4,281.0
1987-10-25,15.2,1.2,160.0
1987-10-26,15.4,1.3,189.0
1987-10-27,15.5,1.3,421.0
1987-10-28,15.8,1.5,549.0
1987-10-29,15.4,2.0,192.0
1987-10-30,15.0,1.2,236.0
1987-10-31,15.1,0.8,163.0
1987-11-01,16.0,0.5,345.0
1987-11-02,15.3,0.2,362.0
1987-11-03,15.9,0.4,275.0
1987-11-04,16.3,0.5,295.0
1987-11-05,16.3,0.5,227.0
1987-11-06,15.9,0.5,234.0
1987-11-07,15.9,1.2,655.0
1987-11-08,15.5,2.0,141.0
1987-11-09,15.5,0.8,161.0
1987-11-10,16.0,1.4,339.0
1987-11-11,15.4,0.7,214.0
1987-11-12,16.6,0.5,244.0
1987-11-13,17.1,0.8,348.0
1987-11-14,16.5,1.1,342.0
1987-11-15,15.9,0.7,232.0
1987-11-16,17.0,1.3,271.0
1987-11-17,17.2,1.4,370.0
1987-11-18,17.1,0.6,355.0
1987-11-19,17.2,1.6,600.0
1987-11-20,17.0,1.2,662.0
1987-11-21,17.0,1.7,489.0
1987-11-22,17.1,1.3,218.0
1987-11-23,17.6,1.3,216.0
1987-11-24,17.3,1.9,183.0
1987-11-25,18.0,2.8,257.0
1987-11-26,18.3,2.8,444.0
1987-11-27,16.5,1.0,316.0
1987-11-28,16.8,0.4,288.0
1987-11-29,17.1,0.5,347.0
1987-11-30,16.0,0.4,330.0
1987-12-01,16.8,0.3,194.0
1987-12-02,17.0,0.4,154.0
1987-12-03,17.2,0.6,285.0
1987-12-04,17.4,1.8,408.0
1987-12-05,16.2,0.9,427.0
1987-12-06,16.5,0.5,318.0
1987-12-07,17.0,0.4,271.0
1987-12-08,17.0,1.2,216.0
1987-12-09,17.2,1.4,353.0
1987-12-10,16.6,1.3,368.0
1987-12-11,17.2,0.5,191.0
1987-12-12,17.5,0.4,215.0
1987-12-13,18.6,0.3,564.0
1987-12-14,18.9,0.9,776.0
1987-12-15,18.2,2.2,1164.0
1987-12-16,18.0,2.0,453.0
1987-12-17,18.9,2.0,132.0
1987-12-18,19.2,1.5,208.0
1987-12-19,19.0,1.9,200.0
1987-12-20,19.4,1.4,259.0
1987-12-21,19.7,1.4,331.0
1987-12-22,20.1,1.8,290.0
1987-12-23,19.7,0.8,298.0
1987-12-24,18.6,0.8,258.0
1987-12-25,19.0,1.8,494.0
1987-12-26,17.2,1.8,365.0
1987-12-27,17.4,1.0,256.0
1987-12-28,17.8,0.8,171.0
1987-12-29,18.5,0.6,143.0
1987-12-30,19.1,1.1,276.0
1987-12-31,19.0,0.8,296.0
1988-01-01,18.7,0.8,717.0
1988-01-02,18.7,1.6,357.0
1988-01-03,18.7,1.8,379.0
1988-01-04,19.0,0.6,271.0
1988-01-05,19.0,0.9,347.0
1988-01-06,19.3,0.5,317.0
1988-01-07,18.9,1.0,312.0
1988-01-08,19.0,0.5,298.0
1988-01-09,19.3,0.4,337.0
1988-01-10,19.1,0.5,323.0
1988-01-11,19.3,0.4,199.0
1988-01-12,19.9,0.2,267.0
1988-01-13,19.6,0.2,228.0
1988-01-14,20.4,0.4,218.0
1988-01-15,20.0,0.3,219.0
1988-01-16,19.9,0.4,321.0
1988-01-17,19.8,0.4,256.0
1988-01-18,19.6,0.4,221.0
1988-01-19,20.3,1.2,436.0
1988-01-20,19.0,1.2,306.0
1988-01-21,19.3,0.9,284.0
1988-01-22,19.5,1.4,305.0
1988-01-23,19.0,0.7,450.0
1988-01-24,19.5,1.6,451.0
1988-01-25,19.8,1.2,360.0
1988-01-26,19.6,1.0,343.0
1988-01-27,20.4,1.0,198.0
1988-01-28,20.3,1.5,247.0
1988-01-29,20.5,1.0,351.0
1988-01-30,20.7,0.7,134.0
1988-01-31,20.8,0.8,157.0
1988-02-01,21.0,0.8,150.0
1988-02-02,21.2,0.6,124.0
1988-02-03,20.6,1.0,226.0
1988-02-04,20.8,1.0,216.0
1988-02-05,20.4,1.5,339.0
1988-02-06,21.0,1.9,248.0
1988-02-07,21.1,0.9,348.0
1988-02-08,20.8,1.6,261.0
1988-02-09,21.3,1.6,181.0
1988-02-10,21.6,1.4,365.0
1988-02-11,21.6,1.0,492.0
1988-02-12,21.5,1.2,506.0
1988-02-13,21.8,0.6,420.0
1988-02-14,22.1,0.4,190.0
1988-02-15,21.9,1.2,162.0
1988-02-16,21.5,1.9,210.0
1988-02-17,21.4,2.0,285.0
1988-02-18,21.5,2.2,354.0
1988-02-19,21.4,0.8,208.0
1988-02-20,21.6,0.6,331.0
1988-02-21,21.2,0.8,419.0
1988-02-22,20.4,0.4,277.0
1988-02-23,20.5,0.6,525.0
1988-02-24,19.6,0.4,336.0
1988-02-25,19.7,0.4,333.0
1988-02-26,19.3,0.2,339.0
1988-02-27,19.3,0.2,321.0
1988-02-28,19.5,0.3,275.0
1988-02-29,19.7,0.3,264.0
1988-03-01,19.6,0.8,268.0
1988-03-02,19.2,0.7,269.0
1988-03-03,19.8,1.4,484.0
1988-03-04,20.2,1.5,483.0
1988-03-05,20.4,2.0,249.0
1988-03-06,20.2,3.5,409.0
1988-03-07,20.2,4.0,511.0
